FirstName|LastName|City|ZipCode|State|Birthday|Street|Country|Relationship|Email|Group
Alfonso|Vaughn|Villa Park|53406|Wisconsin|11-04-87|3453 Sem St.|Cameroon|4|lacus.Quisque.purus@nuncestmollis.ca|3
Adrienne|Middleton|Shreveport|85796|North Carolina|07-07-91|554-2712 Nullam St.|Turkmenistan|2|volutpat@nisia.edu|3
Zia|Watts|Paterson|05501|Kentucky|02-19-90|Ap #976-5704 Fusce Avenue|Iceland|4|ante.bibendum@a.ca|1
Lyle|Wells|Yorba Linda|02701|Mississippi|01-20-83|355-2299 Facilisi. St.|Oman|2|non@cursus.edu|2
Aspen|Santiago|Attleboro|99358|Maine|07-12-80|Ap #947-7566 Vestibulum Rd.|Yemen|4|pede.ac.urna@pellentesque.com|3
Kellie|Humphrey|Greenville|65973|Alaska|10-08-85|896-8242 Feugiat Avenue|Saudi Arabia|3|nulla.Integer.urna@lectus.edu|1
Ima|Brady|Bristol|33288|New Jersey|03-13-81|253-4892 Quis St.|Japan|1|neque.Nullam.nisl@etmagnis.edu|1
Dillon|Warren|Peoria|68409|Nevada|04-25-90|1503 Ad Avenue|Russian Federation|2|ac.ipsum@enimnisl.com|1
Irene|Larsen|Sault Ste. Marie|04037|Wyoming|06-20-86|5629 Nam Rd.|Norfolk Island|4|lobortis@malesuada.edu|1
Phoebe|Hayden|San Gabriel|97392|Tennessee|05-13-89|185-2877 Eu, Avenue|Andorra|1|massa.Integer@dictumplacerataugue.org|2
Ariana|Russo|McAllen|85359|Delaware|12-27-89|8314 Tincidunt Avenue|Cameroon|3|ligula.Aenean@Aliquamfringilla.com|3
Stephanie|Hardin|Council Bluffs|04745|Missouri|02-07-80|108-9143 Metus. Road|Jamaica|1|enim.condimentum@Donec.edu|1
Wang|Preston|Kennewick|57341|Nevada|05-14-85|P.O. Box 658, 5497 Aenean St.|Papua New Guinea|3|massa@eu.ca|2
Gretchen|Hall|Seal Beach|69667|Connecticut|10-23-80|789-380 Morbi Avenue|Aruba|1|ut@semegestas.org|1
